,simu_time,car_num,x_position,y_position,x_acce(m^2/s),y_acce(m^2/s),length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
138,15.0,daxinghuoche.1,58.73080185760563,-11.2,5.2442044764336035,0.0,13.0,9.063287674570255,0.0,1.178995640994981,90.0,H,H_1,1.0,58.730801857605634
139,15.0,daxinghuoche.2,19.499660832469818,-11.2,-5.7397350967440595,0.0,13.0,3.323552577826195,0.0,1.2075904645607811,90.0,H,H_1,1.0,19.499660832469818
140,15.0,tedaxinghuoche.0,55.5193191081984,-14.4,4.892077616928145,0.0,16.0,8.21563019475434,0.0,0.9311149344313883,90.0,H,H_0,0.0,55.5193191081984
141,15.0,tedaxinghuoche.1,16.1,-14.4,-8.21563019475434,0.0,16.0,0.0,0.0,0.0,90.0,H,H_0,0.0,16.1
142,15.0,xiaokeche.1,27.092810356314544,-14.4,7.3473545084015806,0.0,4.0,7.3473545084015806,0.0,0.7650418611076688,90.0,H,H_0,0.0,27.092810356314544
143,15.0,xiaoxinghuoche.1,57.073434023314604,-4.8,1.5791577944641597,0.0,6.0,8.92651230286574,0.0,0.719577332190239,90.0,H,H_3,3.0,57.07343402331461
144,15.0,xiaoxinghuoche.2,24.25119670586508,-4.8,-3.405671798086514,0.0,6.0,5.520840504779226,0.0,1.1029653322300872,90.0,H,H_3,3.0,24.25119670586508
145,15.0,xiaoxinghuoche.3,7.080681106972042,-4.8,-4.540159397807184,0.0,6.0,0.9806811069720425,0.0,0.9806811069720425,90.0,H,H_3,3.0,7.080681106972042
146,15.0,zhongxinghuoche.1,51.985099562630054,-8.0,7.735502277605702,0.0,9.6,8.716183384577745,0.0,1.2982791635789912,90.0,H,H_2,2.0,51.985099562630054
147,15.0,zhongxinghuoche.2,20.578977420076264,-8.0,-4.347073461720721,0.0,9.6,4.369109922857024,0.0,1.0159890404553154,90.0,H,H_2,2.0,20.578977420076264
148,16.0,dakeche.2,71.36547480490991,-1.6,0.0,0.0,11.0,14.396462005749346,0.0,1.6021466420032073,90.0,H,H_4,4.0,71.36547480490991
149,16.0,dakeche.3,22.499162580259146,-1.6,-8.496478424570522,0.0,11.0,5.899983581178822,0.0,2.0809003830421715,90.0,H,H_4,4.0,22.499162580259146
150,16.0,daxinghuoche.1,68.94918407620662,-11.2,4.318398637422159,0.0,13.0,10.218382218600981,0.0,1.1550945440307263,90.0,H,H_1,1.0,68.94918407620662
151,16.0,daxinghuoche.2,24.02002945864806,-11.2,-5.698013592422738,0.0,13.0,4.520368626178243,0.0,1.1968160483520478,90.0,H,H_1,1.0,24.02002945864806
152,16.0,tedaxinghuoche.0,64.31847778977827,-14.4,4.278790055401622,0.0,16.0,8.799158681579865,0.0,0.583528486825525,90.0,H,H_0,0.0,64.31847778977827
